officer_id,name,department,state,rank
OFF-001,Insp. Ahmad Shahril,Field Operations,Kuala Lumpur,Inspector
OFF-002,DSP Nurul Aina,Enforcement,Selangor,Deputy Superintendent
OFF-003,Insp. Haziq Razali,Field Operations,Johor,Inspector
OFF-004,Sgt. Farah Husin,Investigation,Penang,Sergeant
OFF-005,Insp. Syafiq Naim,Field Operations,Perak,Inspector
OFF-006,DSP Roslan Md Nor,Enforcement,Negeri Sembilan,Deputy Superintendent
OFF-007,Insp. Wan Nabilah,Field Operations,Melaka,Inspector
OFF-008,Sgt. Hafizuddin,Investigation,Kedah,Sergeant
OFF-009,Insp. Zulaikha Rahim,Field Operations,Kuala Lumpur,Inspector
OFF-010,DSP Azizul Hakim,Enforcement,Selangor,Deputy Superintendent
OFF-011,Insp. Norzaida,Field Operations,Johor,Inspector
OFF-012,Sgt. Khairul Azlan,Investigation,Penang,Sergeant
OFF-013,Insp. Izwan Fauzi,Field Operations,Perak,Inspector
OFF-014,DSP Sharifah Maisarah,Enforcement,Selangor,Deputy Superintendent
OFF-015,Insp. Fadzillah Nordin,Field Operations,Johor,Inspector
